,1,3,4,5,7,8,9,11,17,20,25
1,0,999999,999999,999999,999999,999999,999999,999999,999999,290,999999
3,999999,0,0,0,999999,0,0,999999,0,0,60
4,999999,999999,0,0,0,0,0,70,0,0,999999
5,999999,999999,999999,0,999999,0,0,999999,0,0,999999
7,999999,999999,999999,999999,0,0,0,999999,999999,999999,999999
8,999999,999999,999999,999999,999999,0,0,999999,999999,0,999999
9,999999,999999,999999,999999,999999,999999,0,999999,999999,0,999999
11,999999,999999,999999,999999,999999,999999,999999,0,999999,999999,999999
17,999999,999999,999999,999999,999999,999999,999999,999999,0,999999,999999
20,999999,999999,999999,999999,999999,999999,999999,999999,999999,0,999999
25,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,0
